ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ALHC,buy,1687,20.42,19.56,-1450.82,2026-06-12 12:15:59,2026-06-12,0
AMPG,buy,3785,9.0798,8.34,-2800.143,2026-06-12 12:15:59,2026-06-12,0
CBRL,buy,743,47.2504,45.2729,-1469.2825,2026-06-12 12:15:59,2026-06-12,0
EDHL,buy,5360,,,0.0,2026-06-12 12:15:59,2026-06-12,1
EOSE,sell,11641,6.19,6.23,-465.64,2026-06-10 12:15:58,2026-06-12,3
HIMX,sell,5510,16.96,17.66,-3857.0,2026-06-11 12:15:58,2026-06-12,2
INFQ,sell,5319,13.9346,13.59,1832.9274,2026-06-10 12:15:58,2026-06-12,3
NVTS,sell,4391,21.0549,22.9462,-8304.6983,2026-06-11 12:15:58,2026-06-12,1
OCC,buy,1364,23.85,21.62,-3041.72,2026-06-12 12:15:59,2026-06-12,0
PPCB,buy,3203,2.01,1.83,-576.54,2026-06-12 16:00:59,2026-06-12,0
SMCI,sell,3076,29.8,30.46,-2030.16,2026-06-11 12:15:58,2026-06-12,2
SUNE,buy,13243,2.59,2.3,-3840.47,2026-06-12 12:15:59,2026-06-12,0
SUNE,buy,3029,2.5,2.35,-454.35,2026-06-12 16:00:59,2026-06-12,0
UEC,sell,6820,10.38,11.32,-6410.8,2026-06-10 12:15:58,2026-06-12,2
USAR,sell,3490,20.8461,22.5477,-5938.584,2026-06-10 12:15:58,2026-06-12,2
VELO,buy,1111,28.59,25.82,-3077.47,2026-06-12 12:15:59,2026-06-12,0
VSME,buy,23501,,,0.0,2026-06-12 12:15:59,2026-06-12,1
WLTH,sell,2827,8.2666,9.03,-2158.1318,2026-06-09 12:15:58,2026-06-12,3
