ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AGEN,sell,703,3.69,3.85,-112.48,2026-04-24 13:58:06,2026-04-24,0
CMCT,buy,156,5.5716,,,2026-04-24 13:25:34,2026-04-24,0
HUBC,buy,328,2.13,1.97,-52.48,2026-04-24 13:25:33,2026-04-24,0
LCUT,sell,408,6.51,,,2026-04-24 13:58:06,2026-04-24,0
PBM,buy,69,8.6,8.6,0.0,2026-04-23 13:59:27,2026-04-24,3
PMAX,buy,1099,2.28,2.27,-10.99,2026-04-20 19:49:02,2026-04-24,5
PRLD,sell,642,4.53,4.7696,-153.8232,2026-04-24 13:58:05,2026-04-24,0
QNCX,buy,457,1.33,1.33,0.0,2026-04-16 13:25:16,2026-04-24,8
TMCI,sell,1481,1.83,,,2026-04-24 13:58:07,2026-04-24,0
ZNTL,sell,721,3.82,4.0,-129.78,2026-04-24 13:58:05,2026-04-24,0
ZSPC,buy,785,0.57,,,2026-04-24 13:25:34,2026-04-24,0
