ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CRSR,buy,3312,12.36,11.3664,-3290.8032,2026-05-29 12:16:03,2026-05-29,0
INFQ,buy,1672,16.7686,15.6702,-1836.5248,2026-05-29 12:16:03,2026-05-29,0
MASK,buy,10800,4.9638,4.63,-3605.04,2026-05-29 12:16:03,2026-05-29,0
MNTS,buy,2580,18.15,16.67,-3818.4,2026-05-29 12:16:03,2026-05-29,0
NVTS,buy,193,31.3655,27.8771,-673.2612,2026-05-28 20:15:59,2026-05-29,0
NVTS,buy,193,29.26,,-571.3823,2026-05-27 23:03:41,2026-05-29,1
PIII,buy,3644,15.95,14.63,-4810.08,2026-05-28 12:15:17,2026-05-29,1
RCAT,buy,2095,13.0274,12.3883,-1338.9145,2026-05-29 12:16:03,2026-05-29,0
RCAT,buy,1209,13.0274,14.54,1828.7334,2026-05-29 14:11:31,2026-05-29,0
RDW,buy,2943,24.2905,22.4316,-5470.7427,2026-05-28 12:15:17,2026-05-29,1
RGTI,buy,2865,25.22,,,2026-05-28 12:15:17,2026-05-29,0
SIDU,buy,11477,5.07,4.5314,-6181.5122,2026-05-28 12:15:17,2026-05-29,1
SPCE,buy,10001,4.529,4.4265,-1025.1025,2026-05-29 12:16:03,2026-05-29,0
SPCE,buy,6624,4.5071,,,2026-05-29 14:08:59,2026-05-29,0
UMAC,buy,1691,27.0461,25.0604,-3357.8187,2026-05-29 12:16:03,2026-05-29,0
VELO,buy,1583,25.6863,23.84,-2922.6929,2026-05-28 12:15:17,2026-05-29,1
