ticker,side,qty,entry_price,exit_price,pnl,strategy_id,regime,opened_at,closed_at,hold_days,account
BIRD,buy,38,11.16,9.66,-57.0,24,choppy,2026-04-16 13:25:13,2026-04-21,3,personal
BIRD,buy,33,11.16,9.66,-49.5,24,choppy,2026-04-16 13:25:16,2026-04-21,3,c2
BIRD,buy,33,12.1409,9.66,-81.8697,15,choppy,2026-04-16 13:25:16,2026-04-21,3,c2
BIRD,buy,38,12.14,9.66,-94.24,15,choppy,2026-04-16 13:25:14,2026-04-21,3,personal
HCAI,buy,586,4.82,5.5,398.48,12,trending_bull,2026-04-20 16:37:09,2026-04-21,1,c2
HCAI,buy,1137,4.82,5.5,773.16,12,trending_bull,2026-04-20 16:37:03,2026-04-21,1,personal
ONFO,buy,380,1.27,1.31,15.2,24,choppy,2026-04-17 13:25:08,2026-04-21,2,personal
ONFO,buy,292,1.27,1.31,11.68,24,choppy,2026-04-17 13:25:08,2026-04-21,2,c2
RMSG,buy,363,2.57,2.62,18.15,24,choppy,2026-04-16 13:25:13,2026-04-21,3,personal
RMSG,buy,171,2.93,2.62,-53.01,24,choppy,2026-04-17 13:25:08,2026-04-21,2,c2
SPY,buy,27,706.6,,,26,consolidation,2026-04-21 16:49:07,2026-04-21,1,c2
SPY,buy,54,706.62,,,26,consolidation,2026-04-21 16:49:03,2026-04-21,1,personal
WNW,buy,178,4.34,4.18,-28.48,15,choppy,2026-04-16 13:25:16,2026-04-21,3,c2
WNW,buy,178,4.24,4.18,-10.68,24,choppy,2026-04-16 13:25:16,2026-04-21,3,c2
WNW,buy,205,4.24,4.18,-12.3,24,choppy,2026-04-16 13:25:13,2026-04-21,2,personal
