ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
GOVX,buy,27472,,3.5174,,2026-05-25 12:15:58,2026-05-26,0
GOVX,buy,27472,3.6,3.5174,-2269.1872,2026-05-26 12:15:58,2026-05-26,0
HCAI,buy,10000,,9.6,,2026-05-25 12:15:58,2026-05-26,0
HCAI,buy,10000,11.47,9.6,-18700.0,2026-05-26 12:15:58,2026-05-26,0
HCWB,buy,34602,,2.53,,2026-05-25 12:15:58,2026-05-26,0
HCWB,buy,34602,2.85,2.53,-8460.189,2026-05-26 12:15:58,2026-05-26,0
LPTH,buy,5899,,16.89,,2026-05-25 12:15:58,2026-05-26,0
LPTH,buy,5899,17.31,16.89,-2651.6005,2026-05-26 12:15:58,2026-05-26,0
RGTI,buy,3785,,24.2786,,2026-05-25 12:15:58,2026-05-26,0
RGTI,buy,3785,25.19,24.2786,-3449.649,2026-05-26 12:15:58,2026-05-26,0
