ticker,side,qty,entry_price,exit_price,pnl,strategy_id,regime,opened_at,closed_at,hold_days,account
BUR,sell,145,4.13,,0.0,13,trending_bear,2026-04-02 14:06:45,2026-04-06,0,personal
DHLGY,sell,22,26.18,,0.0,13,trending_bear,2026-04-02 14:06:45,2026-04-06,0,personal
ORIC,sell,82,8.23,,0.0,13,trending_bear,2026-04-02 14:06:45,2026-04-06,0,personal
PEPG,sell,354,1.71,,0.0,13,trending_bear,2026-04-02 14:06:45,2026-04-06,0,personal
WVE,sell,90,6.82,,0.0,13,trending_bear,2026-04-02 14:06:45,2026-04-06,0,personal
