ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AEHL,buy,662,4.41,4.03,-251.56,2026-05-15 15:06:46,2026-05-15,0
AIIO,buy,6588,4.3,4.02,-1844.64,2026-05-15 16:00:02,2026-05-15,0
AIIO,buy,16970,4.93,4.4,-8994.1,2026-05-15 15:02:05,2026-05-15,0
AIIO,buy,569,4.79,4.4,-221.91,2026-05-15 15:06:46,2026-05-15,0
FCEL,buy,89,20.17,22.06,168.21,2026-05-15 15:06:46,2026-05-15,0
POET,buy,159,18.1,16.68,-225.78,2026-05-15 15:06:45,2026-05-15,0
POET,buy,4653,18.31,16.68,-7584.39,2026-05-15 15:02:04,2026-05-15,0
QUCY,buy,1071,3.7,3.2942,-434.6118,2026-05-15 15:06:46,2026-05-15,0
RXT,buy,13129,6.81,6.28,-6958.37,2026-05-15 15:02:05,2026-05-15,0
RXT,buy,447,6.8,6.26,-241.38,2026-05-15 15:06:46,2026-05-15,0
