ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CUPR,buy,6999,5.999,5.57,-3002.571,2026-06-16 12:16:00,2026-06-16,0
EDHL,buy,7962,7.084,6.56,-4172.088,2026-06-16 12:16:00,2026-06-16,0
GMM,buy,8633,3.6,3.27,-3647.16,2026-06-15 12:15:58,2026-06-16,1
MTEN,buy,10985,3.1352,2.86,-3023.072,2026-06-16 12:16:00,2026-06-16,0
OTLK,buy,41735,1.2146,1.24,1060.069,2026-06-16 12:16:00,2026-06-16,0
PRFX,buy,13883,1.73,1.5932,-1899.1944,2026-06-16 12:16:00,2026-06-16,0
SUNE,buy,28208,2.5745,2.93,10027.944,2026-06-15 12:15:58,2026-06-16,1
TDIC,buy,7370,,,0.0,2026-06-16 12:16:00,2026-06-16,1
VSME,buy,18217,2.3386,2.6556,5774.789,2026-06-16 12:16:00,2026-06-16,0
