ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CLYM,sell,2251,15.0519,14.0,2367.8269,2026-09-02 12:15:33,2026-09-03,1
FIGR,sell,6,32.4226,34.82,-4545.4704,2026-09-02 12:15:33,2026-09-03,1
GENB,sell,2363,16.1208,16.27,-352.5596,2026-09-02 12:15:33,2026-09-03,2
HELP,sell,3118,11.6148,11.77,-483.9136,2026-09-02 12:15:33,2026-09-03,2
NG,sell,7341,8.4708,8.29,1327.2528,2026-09-02 12:15:33,2026-09-03,2
REAX,sell,2070,18.08,18.33,-517.5,2026-09-02 12:15:33,2026-09-03,2
