ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AMPG,buy,897,8.13,7.5524,-518.1072,2026-06-12 16:00:59,2026-06-15,1
CUPR,buy,9894,,,0.0,2026-06-15 12:15:58,2026-06-15,1
EDHL,buy,7353,7.7815,7.21,-4202.2395,2026-06-15 12:15:58,2026-06-15,0
HUBC,buy,59934,,,0.0,2026-06-15 12:15:58,2026-06-15,1
OCC,buy,332,21.64,20.05,-527.88,2026-06-12 16:00:59,2026-06-15,1
TNGX,buy,1145,29.89,32.45,2931.2,2026-06-12 12:15:59,2026-06-15,1
VELO,buy,254,24.14,22.35,-454.66,2026-06-12 16:00:59,2026-06-15,1
VSME,buy,36926,,,0.0,2026-06-15 12:15:58,2026-06-15,1
