ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
BLKB,buy,624,43.6629,44.46,497.3904,2026-08-04 12:15:42,2026-08-12,7
CHYM,buy,1225,30.31,31.55,1519.0,2026-08-07 12:15:42,2026-08-12,4
HURN,buy,251,149.97,149.35,-155.62,2026-08-04 12:15:42,2026-08-12,7
IESC,buy,41,786.0,772.26,-563.34,2026-08-06 12:15:42,2026-08-12,5
IOVA,buy,6796,6.32,6.63,2106.76,2026-08-10 12:15:42,2026-08-12,3
LIFE,buy,947,29.9677,33.9,3723.8881,2026-08-07 12:15:42,2026-08-12,3
MKTX,buy,236,162.3932,162.61,51.1648,2026-08-04 12:15:42,2026-08-12,7
MTRN,buy,108,290.68,284.95,-618.84,2026-08-06 12:15:42,2026-08-12,5
PLAG,buy,6004,1.29,1.1602,-779.3192,2026-08-12 12:15:43,2026-08-12,0
PLPC,buy,64,475.5,473.06,-156.16,2026-08-06 12:15:43,2026-08-12,5
VOYG,buy,979,42.23,43.22,969.21,2026-08-10 12:15:42,2026-08-12,3
