ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AAOI,sell,589,145.5,138.42,4170.12,2026-06-24 12:15:58,2026-07-01,6
AXTI,sell,1115,75.2,65.3722,10957.997,2026-06-24 12:15:58,2026-07-01,6
AZI,buy,21023,1.9936,1.82,-3649.5928,2026-07-01 12:15:58,2026-07-01,0
CUPR,buy,7200,6.19,5.75,-3168.0,2026-07-01 12:15:58,2026-07-01,0
FCEL,buy,1343,36.6672,34.1398,-3394.2982,2026-07-01 12:15:58,2026-07-01,0
FOX,sell,1940,45.0847,49.23,-8041.882,2026-06-23 12:15:58,2026-07-01,6
FOXA,sell,1765,49.4331,53.92,-7919.3785,2026-06-23 12:15:58,2026-07-01,6
RUBI,buy,4645,5.25,4.87,-1765.1,2026-07-01 12:15:58,2026-07-01,0
SKYQ,buy,12339,3.0997,2.89,-2587.4883,2026-07-01 12:15:58,2026-07-01,0
SLS,buy,3417,13.7685,12.7882,-3349.6851,2026-07-01 12:15:58,2026-07-01,0
