ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ARX,buy,1815,19.58,19.53,-90.75,2026-08-18 12:15:43,2026-08-19,2
HZO,buy,636,52.3921,52.14,-160.3356,2026-08-12 12:15:43,2026-08-19,6
IOVA,buy,10211,6.6385,7.57,9511.5465,2026-08-13 12:15:43,2026-08-19,4
NIQ,buy,4084,17.4419,18.23,3218.6004,2026-08-17 12:15:43,2026-08-19,3
PFSA,buy,1228,17.1197,15.58,-1890.7516,2026-08-19 12:15:43,2026-08-19,0
QMCO,buy,1365,24.5938,22.3415,-3074.3895,2026-08-18 12:15:43,2026-08-19,1
SNDK,buy,6,1706.0363,1575.17,-2486.4597,2026-08-18 12:15:43,2026-08-19,1
SXTC,buy,4851,5.09,4.7,-1891.89,2026-08-19 12:15:43,2026-08-19,0
TEAM,buy,281,165.1684,174.5315,2631.0311,2026-08-14 12:15:43,2026-08-19,4
VREX,buy,1381,18.55,18.45,-138.1,2026-08-12 12:15:43,2026-08-19,6
