ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CPSH,buy,5457,9.3163,8.56,-4127.1291,2026-05-30 09:05:23,2026-06-01,0
CPSH,buy,5308,9.17,,0.0,2026-06-01 12:15:59,2026-06-01,0
CRSR,buy,2811,,,0.0,2026-06-01 12:16:00,2026-06-01,0
DELL,buy,89,,,0.0,2026-06-01 12:15:59,2026-06-01,0
ENPH,buy,592,69.1081,63.4379,-3356.7584,2026-05-28 12:15:17,2026-06-01,2
MASK,buy,16253,,,0.0,2026-06-01 12:15:59,2026-06-01,0
MASK,buy,14597,5.5436,6.7,16879.9708,2026-05-30 09:05:23,2026-06-01,0
MNTS,buy,3800,,,0.0,2026-06-01 12:15:59,2026-06-01,0
RCAT,buy,2364,15.2485,14.19,-2502.294,2026-05-30 09:05:24,2026-06-01,0
RCAT,buy,2369,,,0.0,2026-06-01 12:16:00,2026-06-01,0
RDW,buy,1401,,,0.0,2026-06-01 12:16:00,2026-06-01,0
RDW,buy,1400,21.8494,20.33,-2127.16,2026-05-30 09:05:23,2026-06-01,0
REPL,buy,3809,,,0.0,2026-06-01 12:16:00,2026-06-01,0
REPL,buy,3729,9.7224,9.1029,-2310.1155,2026-05-30 09:05:24,2026-06-01,0
SNOW,buy,134,,,0.0,2026-06-01 12:15:59,2026-06-01,0
SPCE,buy,9275,7.88,6.85,-9553.25,2026-05-30 09:05:23,2026-06-01,0
SPCE,buy,10266,,,0.0,2026-06-01 12:15:59,2026-06-01,0
TE,buy,6431,10.8063,9.77,-6664.4453,2026-05-28 12:15:17,2026-06-01,2
