ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ALMU,buy,184,25.07,,79.12,2026-05-01 16:04:08,2026-05-01,1
ALMU,buy,184,25.07,25.5,79.12,2026-05-01 19:41:06,2026-05-01,0
ANAB,buy,65,66.91,,-9.1,2026-05-01 16:04:06,2026-05-01,1
ANAB,buy,65,66.91,66.77,-9.1,2026-05-01 19:41:06,2026-05-01,0
CNC,buy,79,53.49,,-14.22,2026-05-01 16:04:05,2026-05-01,1
CNC,buy,79,53.49,53.31,-14.22,2026-05-01 19:41:06,2026-05-01,0
COCO,buy,4,,,266.84,2026-05-01 16:04:08,2026-05-01,1
COCO,buy,65,67.96,66.71,-81.25,2026-05-01 16:04:04,2026-05-01,1
INTC,buy,5,,,498.25,2026-05-01 16:04:08,2026-05-01,1
INTC,buy,45,99.32,99.6344,14.148,2026-05-01 16:04:04,2026-05-01,1
KNSA,buy,79,53.58,,129.56,2026-05-01 16:04:07,2026-05-01,1
KNSA,buy,79,53.58,55.22,129.56,2026-05-01 19:41:06,2026-05-01,0
