ticker,side,qty,entry_price,exit_price,pnl,strategy_id,regime,opened_at,closed_at,hold_days,account
AIXI,sell,4625,0.9921,,,15,,2026-04-16 21:49:24,2026-04-16,0,personal
AIXI,sell,2429,0.9796,,,15,,2026-04-16 21:49:24,2026-04-16,0,c2
RMSG,sell,363,2.6584,,,15,,2026-04-16 21:49:24,2026-04-16,0,personal
RMSG,buy,363,2.91,,-116.16,15,choppy,2026-04-16 13:25:14,2026-04-16,0,personal
RMSG,buy,314,2.9,,-78.5,15,choppy,2026-04-16 13:25:16,2026-04-16,0,c2
RMSG,buy,314,2.57,,-59.66,24,choppy,2026-04-16 13:25:16,2026-04-16,0,c2
RMSG,sell,314,2.3777,,,15,,2026-04-16 21:49:24,2026-04-16,0,c2
RMSG,sell,314,2.6501,,,15,,2026-04-16 21:49:24,2026-04-16,0,c2
WNW,sell,205,4.45,,,15,,2026-04-16 21:49:24,2026-04-16,0,personal
WNW,buy,205,4.34,,413.895,15,choppy,2026-04-16 13:25:14,2026-04-16,1,personal
