ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ANF,buy,410,,,0.0,2026-08-27 12:01:19,2026-08-27,0
ASST,buy,2804,,,0.0,2026-08-27 12:01:19,2026-08-27,0
CRE,buy,6900,,,0.0,2026-08-27 12:01:19,2026-08-27,0
CRML,buy,7502,,,0.0,2026-08-27 12:01:19,2026-08-27,0
DAIC,buy,11317,,,0.0,2026-08-27 12:01:19,2026-08-27,0
DAIC,buy,6805,5.4509,5.06,-2660.0745,2026-08-27 12:15:43,2026-08-27,0
PURR,buy,4737,10.8274,12.62,13899.8204,2026-08-21 12:15:42,2026-08-27,4
REAX,buy,1655,,,0.0,2026-08-27 12:01:19,2026-08-27,0
REAX,buy,995,26.0762,24.06,-2006.119,2026-08-27 12:15:43,2026-08-27,0
TMC,buy,10030,,,0.0,2026-08-27 12:01:19,2026-08-27,0
