ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
BKSY,sell,2288,,,0.0,2026-06-04 12:15:58,2026-06-04,0
DELL,buy,127,437.97,406.5292,-3992.9816,2026-05-30 09:05:23,2026-06-04,3
DXYZ,sell,2121,,,0.0,2026-06-04 12:15:58,2026-06-04,0
FLY,sell,2155,,,0.0,2026-06-04 12:15:58,2026-06-04,0
INFQ,buy,796,16.7686,16.95,144.3944,2026-05-29 19:31:22,2026-06-04,5
SG,sell,11151,7.63,7.98,-3902.85,2026-06-04 12:15:58,2026-06-04,0
SPIR,sell,4504,,,0.0,2026-06-04 12:15:58,2026-06-04,0
