ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CUE,buy,2817,,36.11,,2026-05-08 15:25:47,2026-05-08,0
CUE,buy,372,,36.11,,2026-05-08 16:00:44,2026-05-08,0
CUE,buy,632,35.0,36.11,206.46,2026-05-08 13:25:02,2026-05-08,0
DGXX,buy,2148,,6.5276,,2026-05-08 16:00:44,2026-05-08,0
DGXX,buy,16263,,6.5276,,2026-05-08 15:25:46,2026-05-08,0
DGXX,buy,3176,6.1863,6.5276,367.5801,2026-05-08 13:25:02,2026-05-08,0
ELPW,buy,14199,6.68,6.05,-8945.37,2026-05-08 15:25:47,2026-05-08,0
RXT,buy,28600,,4.91,,2026-05-08 15:25:47,2026-05-08,0
RXT,buy,3777,,4.91,,2026-05-08 16:00:44,2026-05-08,0
RXT,buy,5585,3.8825,4.91,1945.0575,2026-05-08 13:25:02,2026-05-08,0
