ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ACN,sell,698,125.16,136.5,-7915.32,2026-06-23 12:15:58,2026-07-02,7
AZI,buy,24553,2.0481,1.91,-3390.7693,2026-07-02 12:15:58,2026-07-02,0
CANF,buy,7134,4.29,4.03,-1854.84,2026-07-02 12:15:58,2026-07-02,0
HUN,sell,7583,11.5607,10.72,6375.0281,2026-06-23 12:15:58,2026-07-02,8
LHAI,buy,20096,1.715,1.6,-2311.04,2026-07-02 12:15:58,2026-07-02,0
NNBR,buy,10552,4.23,4.0006,-2420.6288,2026-07-02 12:15:58,2026-07-02,0
PAVS,buy,4626,6.5497,7.45,4164.7878,2026-07-01 12:15:58,2026-07-02,1
RUBI,buy,5392,5.55,5.15,-2156.8,2026-07-02 12:15:58,2026-07-02,0
