ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CPSH,buy,6330,,,0.0,2026-06-03 12:15:59,2026-06-03,0
MASK,buy,19378,,,0.0,2026-06-03 12:15:59,2026-06-03,0
MNTS,buy,4529,,,0.0,2026-06-03 12:15:59,2026-06-03,0
RCAT,buy,2823,,,0.0,2026-06-03 12:15:59,2026-06-03,0
RCAT,buy,1492,15.29,14.1894,-1642.0952,2026-06-02 15:34:16,2026-06-03,1
RDW,buy,1670,,,0.0,2026-06-03 12:15:59,2026-06-03,0
REPL,buy,4540,,,0.0,2026-06-03 12:15:59,2026-06-03,0
RGTI,buy,1101,25.602,23.84,-1939.962,2026-05-29 12:16:03,2026-06-03,3
SNOW,buy,134,263.2844,244.8901,-2464.8362,2026-05-30 09:05:23,2026-06-03,2
SPCE,buy,12236,,,0.0,2026-06-03 12:15:59,2026-06-03,0
UMAC,buy,2405,,,0.0,2026-06-03 12:15:59,2026-06-03,0
