ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
BIYA,buy,58228,1.75,1.63,-6987.36,2026-05-27 12:15:58,2026-05-27,0
HCWB,buy,36670,2.55,2.36,-6967.3,2026-05-27 12:15:58,2026-05-27,0
HCWB,buy,36670,2.55,2.36,-6967.3,2026-05-27 13:35:04,2026-05-27,0
HCWB,buy,2352,2.03,1.9154,-269.5392,2026-05-27 16:00:58,2026-05-27,0
MNTS,buy,6206,20.2108,18.82,-8631.3048,2026-05-27 12:15:58,2026-05-27,0
NVTS,buy,3022,31.5,29.2385,-6834.253,2026-05-27 12:15:58,2026-05-27,0
SIDU,buy,15496,6.3777,5.92,-7092.5192,2026-05-27 12:15:58,2026-05-27,0
