ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ALMU,buy,12,,,,2026-05-04 13:25:03,2026-05-04,1
ALMU,buy,19,23.49,,,2026-05-04 17:18:05,2026-05-04,0
ALMU,buy,19,23.49,,,2026-05-04 19:40:47,2026-05-04,0
ALMU,buy,19,23.49,,,2026-05-04 19:47:20,2026-05-04,0
COCO,buy,7,67.49,,,2026-05-04 17:37:47,2026-05-04,1
COCO,buy,7,67.49,,,2026-05-04 17:34:17,2026-05-04,0
CUE,buy,32,33.41,30.47,-94.08,2026-05-04 17:37:47,2026-05-04,0
CUE,buy,16,31.1,29.0,-33.6,2026-05-04 15:45:06,2026-05-04,0
CUE,buy,32,33.41,,,2026-05-04 17:34:17,2026-05-04,0
EXTR,buy,62,21.99,,,2026-05-04 19:40:47,2026-05-04,0
EXTR,buy,62,21.99,,,2026-05-04 19:47:20,2026-05-04,0
EXTR,buy,62,21.99,22.83,52.08,2026-05-04 19:48:00,2026-05-04,0
GTX,buy,25,25.5,,,2026-05-04 19:40:47,2026-05-04,0
GTX,buy,25,25.5,,,2026-05-04 19:47:20,2026-05-04,0
GTX,buy,25,25.5,24.99,-12.75,2026-05-04 19:48:00,2026-05-04,0
KALV,buy,128,26.66,,,2026-05-01 19:41:06,2026-05-04,1
MANE,buy,8,101.3846,,,2026-05-01 19:41:06,2026-05-04,1
MXL,buy,20,77.1097,,,2026-05-01 19:41:06,2026-05-04,1
NOK,buy,111,13.75,13.02,-242.36,2026-05-01 16:04:07,2026-05-04,1
OGN,buy,239,13.28,,,2026-05-04 19:40:47,2026-05-04,0
OGN,buy,239,13.28,,,2026-05-04 19:47:20,2026-05-04,0
OGN,buy,239,13.28,,,2026-05-04 19:48:00,2026-05-04,0
QCOM,buy,11,175.2274,,,2026-05-04 19:40:47,2026-05-04,0
QCOM,buy,11,175.2274,,,2026-05-04 19:47:20,2026-05-04,0
QCOM,buy,11,175.2274,,,2026-05-04 19:48:00,2026-05-04,0
SIMO,buy,15,227.0238,226.93,-1.9698,2026-05-01 19:41:06,2026-05-04,1
