ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
APPS,buy,2309,12.6,12.05,-1269.95,2026-08-06 12:15:43,2026-08-06,0
LIFE,buy,767,25.0474,28.4,2571.4442,2026-08-05 12:15:42,2026-08-06,1
OUST,buy,697,46.9065,43.7537,-2197.5016,2026-08-05 12:15:42,2026-08-06,1
PGY,buy,1701,22.46,21.0359,-2422.3941,2026-08-04 12:15:42,2026-08-06,2
REPL,buy,2730,11.7072,13.4406,4732.182,2026-08-06 12:15:42,2026-08-06,1
VRRM,buy,4839,5.5574,5.01,-2648.8686,2026-08-04 12:15:42,2026-08-06,2
