ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AAOI,buy,237,,,,2026-05-06 13:54:57,2026-05-06,0
AKAM,buy,363,,,,2026-05-06 13:54:57,2026-05-06,0
ALGM,buy,863,,,,2026-05-06 13:54:58,2026-05-06,0
ALMU,buy,1567,,,,2026-05-06 13:54:56,2026-05-06,0
APLD,buy,1075,,,,2026-05-06 13:54:57,2026-05-06,0
AUR,buy,6569,,,,2026-05-06 13:54:57,2026-05-06,0
AXSM,buy,63,229.9,,,2026-05-05 13:54:24,2026-05-06,1
AXTI,buy,332,104.93,99.1528,-2339.766,2026-05-05 13:54:20,2026-05-06,1
BAND,buy,832,46.82,,,2026-05-05 13:54:19,2026-05-06,1
BE,buy,148,289.4697,,,2026-05-05 13:54:22,2026-05-06,1
BELFB,buy,144,,,,2026-05-06 13:54:59,2026-05-06,0
BHE,buy,447,85.0,,,2026-05-05 13:54:23,2026-05-06,1
CECO,buy,71,84.21,,,2026-05-05 13:54:23,2026-05-06,1
CHEF,buy,300,78.76,,,2026-05-05 13:54:24,2026-05-06,1
CIFR,buy,1941,,,,2026-05-06 13:54:57,2026-05-06,0
CLMT,buy,1191,,,,2026-05-06 13:54:59,2026-05-06,0
CNC,buy,157,54.41,,,2026-05-05 13:54:22,2026-05-06,1
CNSP,buy,6000,,,,2026-05-06 13:54:56,2026-05-06,0
CNSP,buy,6005,7.9,7.09,-4864.05,2026-05-06 14:16:03,2026-05-06,0
COCO,buy,512,67.5,,,2026-05-05 13:54:21,2026-05-06,1
CRCL,buy,72,114.6563,,,2026-05-05 13:54:22,2026-05-06,1
CRWV,buy,335,,,,2026-05-06 13:54:58,2026-05-06,0
CUE,buy,1227,,,,2026-05-06 13:54:56,2026-05-06,0
CYTK,buy,556,,,,2026-05-06 13:54:57,2026-05-06,0
DGXX,buy,8395,,,,2026-05-06 13:54:56,2026-05-06,0
DGXX,buy,8403,5.8795,5.57,-2600.7285,2026-05-06 14:16:04,2026-05-06,0
DINO,buy,449,73.03,,,2026-05-05 13:54:25,2026-05-06,1
DK,buy,874,,,,2026-05-06 13:54:58,2026-05-06,0
DOCN,buy,280,,,,2026-05-06 13:54:56,2026-05-06,0
DXYZ,buy,1118,,,,2026-05-06 13:54:57,2026-05-06,0
ECG,buy,254,,,,2026-05-06 13:54:57,2026-05-06,0
ELPW,buy,7308,,,,2026-05-06 13:54:56,2026-05-06,0
ESPR,buy,13750,,,,2026-05-06 13:54:56,2026-05-06,0
EWTX,buy,1128,,,,2026-05-06 13:54:58,2026-05-06,0
EXTR,buy,1809,,,,2026-05-06 13:54:57,2026-05-06,0
FCEL,buy,3298,12.85,,,2026-05-05 13:54:23,2026-05-06,1
FCEL,buy,3169,13.32,12.5482,-2445.8342,2026-05-06 14:16:05,2026-05-06,0
FIVN,buy,1808,24.56,23.0533,-2770.8213,2026-05-05 13:54:20,2026-05-06,1
FIVN,buy,1768,,,,2026-05-06 13:54:56,2026-05-06,0
FROG,buy,788,,,,2026-05-06 13:54:58,2026-05-06,0
FSLY,buy,1325,,,,2026-05-06 13:54:57,2026-05-06,0
GBTG,buy,4551,9.33,,,2026-05-05 13:54:20,2026-05-06,1
GFS,buy,579,,,,2026-05-06 13:54:57,2026-05-06,0
GNRC,buy,159,261.69,,,2026-05-05 13:54:24,2026-05-06,1
GTX,buy,918,25.33,,,2026-05-05 13:54:23,2026-05-06,1
HCAI,buy,2716,,,,2026-05-06 13:54:56,2026-05-06,0
HCAI,buy,2719,16.31,14.51,-4894.2,2026-05-06 14:16:03,2026-05-06,0
HIVE,buy,15105,,,,2026-05-06 13:54:57,2026-05-06,0
ICLR,buy,353,,,,2026-05-06 13:54:59,2026-05-06,0
INTC,buy,396,,,,2026-05-06 13:54:57,2026-05-06,0
IREN,buy,783,,,,2026-05-06 13:54:58,2026-05-06,0
KALV,buy,1595,26.7,,,2026-05-05 13:54:20,2026-05-06,1
KNSA,buy,230,58.0,,,2026-05-05 13:54:21,2026-05-06,1
KOPN,buy,9031,,,,2026-05-06 13:54:59,2026-05-06,0
LEGN,buy,1504,,,,2026-05-06 13:54:58,2026-05-06,0
LGN,buy,431,,,,2026-05-06 13:54:57,2026-05-06,0
LWLG,buy,2565,,,,2026-05-06 13:54:56,2026-05-06,0
MRAM,buy,2251,,,,2026-05-06 13:54:56,2026-05-06,0
MRAM,buy,2254,18.98,21.49,5657.54,2026-05-06 14:16:04,2026-05-06,0
MWH,buy,949,,,,2026-05-06 13:54:58,2026-05-06,0
MXL,buy,525,,,,2026-05-06 13:54:56,2026-05-06,0
MYRG,buy,91,,,,2026-05-06 13:54:57,2026-05-06,0
NBIS,buy,243,,,,2026-05-06 13:54:57,2026-05-06,0
NICE,buy,336,121.97,105.185,-5790.825,2026-05-05 13:54:22,2026-05-06,1
NICE,buy,343,,,,2026-05-06 13:54:58,2026-05-06,0
NOK,buy,3196,,,,2026-05-06 13:54:59,2026-05-06,0
NVT,buy,253,,,,2026-05-06 13:54:58,2026-05-06,0
NXPI,buy,146,,,,2026-05-06 13:54:57,2026-05-06,0
OWL,buy,3990,,,,2026-05-06 13:54:58,2026-05-06,0
PENG,buy,1176,,,,2026-05-06 13:54:57,2026-05-06,0
PI,buy,286,,,,2026-05-06 13:54:57,2026-05-06,0
PRIM,buy,211,,,,2026-05-06 13:54:58,2026-05-06,0
QBTS,buy,1991,,,,2026-05-06 13:54:59,2026-05-06,0
QCOM,buy,229,,,,2026-05-06 13:54:57,2026-05-06,0
RIOT,buy,2108,,,,2026-05-06 13:54:58,2026-05-06,0
RNG,buy,339,47.06,,,2026-05-05 13:54:24,2026-05-06,1
RSI,buy,1470,,,,2026-05-06 13:54:58,2026-05-06,0
SIMO,buy,149,234.67,,,2026-05-05 13:54:20,2026-05-06,1
SMTC,buy,379,,,,2026-05-06 13:54:58,2026-05-06,0
STRL,buy,7,,,,2026-05-06 13:25:46,2026-05-06,0
SWKS,buy,591,,,,2026-05-06 13:54:58,2026-05-06,0
SYNA,buy,411,,,,2026-05-06 13:54:58,2026-05-06,0
TEAM,buy,26,89.34,84.5,-2226.4,2026-05-05 13:54:21,2026-05-06,1
TWLO,buy,94,192.6269,,,2026-05-05 13:54:21,2026-05-06,1
ULS,buy,409,,,,2026-05-06 13:54:59,2026-05-06,0
UMC,buy,3062,,,,2026-05-06 13:54:58,2026-05-06,0
USAR,buy,1564,,,,2026-05-06 13:54:58,2026-05-06,0
VIAV,buy,794,,,,2026-05-06 13:54:57,2026-05-06,0
VSH,buy,1336,,,,2026-05-06 13:54:58,2026-05-06,0
WDC,buy,92,,,,2026-05-06 13:54:58,2026-05-06,0
WOLF,buy,83,37.69,34.54,-3761.1,2026-05-05 13:54:23,2026-05-06,1
WOLF,buy,1171,,,,2026-05-06 13:54:56,2026-05-06,0
WOLF,buy,1172,38.063,43.19,6008.844,2026-05-06 14:16:05,2026-05-06,0
ZM,buy,393,,,,2026-05-06 13:54:58,2026-05-06,0
