ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CRE,buy,4149,5.4014,4.6895,-2953.6731,2026-08-27 12:15:43,2026-08-28,1
CRML,buy,4511,8.1661,7.55,-2779.2271,2026-08-27 12:15:43,2026-08-28,1
INBX,buy,242,128.0,120.01,-1933.58,2026-08-28 12:15:44,2026-08-28,0
METC,buy,2147,13.9599,13.36,-1287.9853,2026-08-28 12:15:44,2026-08-28,0
MRVI,buy,9429,8.4522,7.82,-5961.0138,2026-08-21 12:15:43,2026-08-28,5
MSTR,buy,270,134.37,128.8156,-1499.688,2026-08-28 12:15:44,2026-08-28,0
PURR,buy,2886,12.7695,11.8108,-2766.8082,2026-08-28 12:15:44,2026-08-28,0
