ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AEVA,buy,2321,27.434,25.31,-4929.804,2026-05-28 12:15:17,2026-05-28,0
BIYA,buy,3735,1.19,1.09,-373.5,2026-05-27 23:03:41,2026-05-28,0
HCWB,buy,35193,2.2376,2.0024,-8277.3936,2026-05-28 12:15:17,2026-05-28,0
HIVE,buy,24570,4.19,4.45,6388.2,2026-05-26 12:15:58,2026-05-28,3
MNTS,buy,398,18.32,17.0738,-495.9876,2026-05-27 23:03:41,2026-05-28,0
MNTS,buy,3586,18.0838,16.6,-5320.9068,2026-05-28 12:15:17,2026-05-28,0
QBTS,buy,1515,27.5083,29.88,3593.1255,2026-05-28 12:15:17,2026-05-28,0
SIDU,buy,994,5.79,5.064,-721.644,2026-05-27 23:03:41,2026-05-28,0
SPCE,buy,10171,3.6145,3.93,3208.9505,2026-05-28 12:15:17,2026-05-28,0
