ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
CPSH,buy,1619,9.2828,9.3011,29.6277,2026-06-01 20:16:00,2026-06-02,0
MASK,buy,20885,,,0.0,2026-06-02 12:15:59,2026-06-02,0
MNTS,buy,3435,17.57,15.4,-7453.95,2026-05-30 09:05:23,2026-06-02,1
RCAT,buy,3046,15.29,,0.0,2026-06-02 12:15:59,2026-06-02,0
RDW,buy,1802,,,0.0,2026-06-02 12:15:59,2026-06-02,0
REPL,buy,4897,,,0.0,2026-06-02 12:16:00,2026-06-02,0
SPCE,buy,13201,,,0.0,2026-06-02 12:15:59,2026-06-02,0
UMAC,buy,2595,,,0.0,2026-06-02 12:15:59,2026-06-02,0
