ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ANAB,buy,3,64.2,,-5.25,2026-04-29 14:17:07,2026-04-29,0
CNC,buy,4,52.73,54.28,6.2,2026-04-29 14:17:07,2026-04-29,0
DARE,sell,1644,2.17,2.14,49.32,2026-04-29 14:14:14,2026-04-29,0
DARE,sell,822,2.21,,65.76,2026-04-28 13:31:19,2026-04-29,1
ENVB,buy,86,5.24,5.1,-12.04,2026-04-29 14:17:06,2026-04-29,0
ENVB,buy,46,5.23,,-6.9,2026-04-29 14:17:07,2026-04-29,0
HRI,buy,1,132.15,129.27,-2.88,2026-04-29 14:17:07,2026-04-29,0
INBX,buy,3,129.35,125.06,-15.51,2026-04-29 14:17:06,2026-04-29,0
INBX,buy,1,127.42,125.06,-2.36,2026-04-29 14:17:07,2026-04-29,0
INTC,buy,2,89.74,93.07,6.66,2026-04-29 14:17:07,2026-04-29,0
KNSA,buy,4,53.18,53.1,-0.39,2026-04-29 14:17:07,2026-04-29,0
KNSA,buy,5,,,264.35,2026-04-29 18:13:46,2026-04-29,1
KNSA,buy,73,53.13,52.87,-18.98,2026-04-29 18:13:45,2026-04-29,1
MANE,buy,4,106.51,99.81,-26.8,2026-04-29 14:17:06,2026-04-29,0
MANE,buy,2,106.74,,-12.7,2026-04-29 14:17:07,2026-04-29,0
MXL,buy,8,61.13,68.3,57.36,2026-04-29 14:17:06,2026-04-29,0
MXL,buy,5,61.93,,30.25,2026-04-29 14:17:06,2026-04-29,0
MXL,buy,4,58.77,,29.76,2026-04-29 14:17:07,2026-04-29,0
MXL,buy,17,61.93,68.3,108.9496,2026-04-29 14:17:06,2026-04-29,0
MXL,buy,11,61.87,68.3,70.73,2026-04-29 14:17:06,2026-04-29,0
OGN,buy,21,,,279.93,2026-04-29 18:13:46,2026-04-29,1
OGN,buy,18,13.32,13.3,-0.36,2026-04-29 14:17:07,2026-04-29,0
OGN,buy,297,13.31,13.33,5.94,2026-04-29 18:13:43,2026-04-29,1
QNCX,buy,676,1.29,,5.4317,2026-04-20 16:40:13,2026-04-29,7
ROLR,buy,24,10.35,,-14.4,2026-04-29 14:17:07,2026-04-29,0
SANM,buy,1,207.86,208.07,0.21,2026-04-29 14:17:07,2026-04-29,0
SXT,buy,1,121.7,121.16,-0.54,2026-04-29 14:17:07,2026-04-29,0
TRT,buy,37,11.17,11.03,-5.18,2026-04-29 14:17:06,2026-04-29,0
TRT,buy,75,11.5,11.03,-35.25,2026-04-29 14:17:06,2026-04-29,0
TRT,buy,23,,,253.92,2026-04-29 18:13:46,2026-04-29,1
TRT,buy,50,11.5,,-34.0,2026-04-29 14:17:06,2026-04-29,0
TRT,buy,20,12.1,,-7.0,2026-04-29 14:17:07,2026-04-29,0
TRT,buy,23,11.5,,-15.41,2026-04-29 14:17:06,2026-04-29,0
TRT,buy,325,11.24,11.04,-65.0,2026-04-29 18:13:42,2026-04-29,1
