ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
BKKT,sell,11494,8.13,,4482.66,2026-06-08 15:49:47,2026-06-10,2
BKKT,sell,11494,8.13,,,2026-06-08 13:57:04,2026-06-10,0
BKSY,sell,2589,33.9,,,2026-06-08 13:57:04,2026-06-10,0
BKSY,sell,2589,33.9,31.73,5618.13,2026-06-08 15:49:47,2026-06-10,3
CELC,sell,1019,86.49,,,2026-06-08 13:57:04,2026-06-10,0
CELC,sell,499,87.5036,95.51,-3995.1936,2026-06-09 12:15:58,2026-06-10,1
CRCL,sell,1121,82.209,79.43,3115.259,2026-06-08 13:57:04,2026-06-10,3
CRSR,sell,9988,8.9891,,4330.9804,2026-06-08 15:49:47,2026-06-10,2
CRSR,sell,9988,8.9891,,,2026-06-08 13:57:04,2026-06-10,0
MLYS,sell,1837,22.8059,24.92,-3883.6017,2026-06-09 12:15:58,2026-06-10,1
ODD,sell,3021,10.1393,11.06,-2781.4347,2026-06-09 12:15:58,2026-06-10,1
RDW,sell,4878,19.14,15.3825,18328.9923,2026-06-08 13:57:04,2026-06-10,2
SG,sell,12129,7.56,,,2026-06-08 13:57:04,2026-06-10,0
