ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
ANAB,buy,9,61.5647,62.02,4.0977,2026-04-30 14:22:54,2026-04-30,0
ANAB,buy,9,61.5647,,,2026-04-29 19:40:40,2026-04-30,0
BE,buy,13,292.24,271.5131,-269.4497,2026-04-30 13:25:40,2026-04-30,0
CNC,buy,2,54.2053,53.47,-1.4706,2026-04-30 14:22:54,2026-04-30,0
CNC,buy,5,,,268.25,2026-04-30 14:25:04,2026-04-30,1
CNC,buy,2,54.28,,,2026-04-29 18:13:45,2026-04-30,1
CNC,buy,72,53.48,53.6621,13.1112,2026-04-30 14:25:03,2026-04-30,1
CNC,buy,8,,,,2026-04-30 14:25:04,2026-04-30,1
COCO,buy,86,67.9743,67.78,-16.7098,2026-04-30 14:22:54,2026-04-30,0
COCO,buy,47,67.5,,,2026-04-30 13:32:08,2026-04-30,0
COCO,buy,86,67.12,,,2026-04-30 13:25:40,2026-04-30,0
COCO,buy,4,,,,2026-04-30 14:25:04,2026-04-30,1
ENVB,buy,54,3.4356,,24.5376,2026-04-30 17:44:38,2026-04-30,0
ENVB,buy,53,,,-29.8,2026-04-29 18:13:46,2026-04-30,1
ENVB,buy,179,5.19,,,2026-04-29 18:13:42,2026-04-30,1
ENVB,buy,54,3.4356,,,2026-04-30 17:06:45,2026-04-30,0
ENVB,buy,142,3.44,,56.8,2026-04-30 14:25:03,2026-04-30,0
HRI,sell,1,124.65,,,2026-04-30 13:53:24,2026-04-30,0
HRI,sell,1,124.65,128.13,-3.48,2026-04-30 14:22:54,2026-04-30,0
INTC,buy,43,93.29,,,2026-04-29 18:13:44,2026-04-30,1
INTC,buy,43,93.1421,92.6428,-21.4699,2026-04-30 14:22:54,2026-04-30,0
INTC,buy,2,,,,2026-04-30 14:25:04,2026-04-30,1
INTC,buy,4,,,,2026-04-30 14:25:04,2026-04-30,1
KALV,buy,13,,,,2026-04-30 13:25:40,2026-04-30,0
KALV,buy,148,26.68,26.66,-2.96,2026-04-30 14:22:54,2026-04-30,0
KALV,buy,10,,,266.5,2026-04-30 14:25:04,2026-04-30,1
KALV,buy,148,26.68,,,2026-04-30 13:25:40,2026-04-30,0
KALV,buy,147,26.67,26.65,-2.94,2026-04-30 14:25:03,2026-04-30,1
MANE,buy,37,106.6284,101.69,-182.7208,2026-04-30 14:22:54,2026-04-30,0
MANE,buy,19,106.75,,,2026-04-30 13:31:37,2026-04-30,0
MANE,buy,5,,,,2026-04-30 14:25:04,2026-04-30,1
MANE,buy,2,,,,2026-04-30 14:25:04,2026-04-30,1
MANE,buy,37,106.5,,,2026-04-30 13:25:40,2026-04-30,0
MOH,buy,20,195.2645,194.64,-12.49,2026-04-30 14:22:54,2026-04-30,0
MOH,buy,1,,,,2026-04-30 13:25:40,2026-04-30,0
MOH,buy,14,194.82,,,2026-04-30 13:30:37,2026-04-30,0
MOH,buy,20,196.1,,,2026-04-30 13:25:40,2026-04-30,0
MXL,buy,13,,,,2026-04-30 14:25:04,2026-04-30,1
MXL,buy,9,,,636.57,2026-04-30 14:25:04,2026-04-30,1
MXL,buy,4,,,,2026-04-30 14:25:04,2026-04-30,1
MXL,buy,64,67.02,70.73,212.9818,2026-04-30 14:25:03,2026-04-30,1
NOK,buy,29,,,,2026-04-30 13:25:40,2026-04-30,0
NOK,buy,317,12.17,,,2026-04-30 13:25:40,2026-04-30,0
NOK,buy,317,12.1847,12.19,1.6801,2026-04-30 14:22:54,2026-04-30,0
NOK,buy,34,12.19,,,2026-04-30 13:31:37,2026-04-30,0
NOK,buy,22,,,284.02,2026-04-30 14:25:04,2026-04-30,1
NOK,buy,315,12.21,12.91,220.5,2026-04-30 14:25:04,2026-04-30,1
NXPI,buy,1,,,,2026-04-30 13:25:40,2026-04-30,0
NXPI,buy,1,288.2,,,2026-04-30 13:30:37,2026-04-30,0
NXPI,buy,13,285.3862,282.15,-42.0706,2026-04-30 14:22:54,2026-04-30,0
NXPI,buy,13,284.01,,,2026-04-30 13:25:40,2026-04-30,0
OGN,buy,55,,,,2026-04-30 13:25:40,2026-04-30,0
OGN,buy,27,,,,2026-04-30 13:25:40,2026-04-30,0
OGN,buy,55,,,,2026-04-30 13:25:40,2026-04-30,0
OGN,buy,69,,,,2026-04-30 13:25:40,2026-04-30,0
OGN,buy,68,,,901.0,2026-04-30 14:25:04,2026-04-30,1
OGN,buy,45,,,,2026-04-30 14:25:04,2026-04-30,1
OGN,buy,21,,,,2026-04-30 14:25:04,2026-04-30,1
OGN,buy,294,13.33,13.25,-23.52,2026-04-30 14:25:03,2026-04-30,1
OGN,buy,34,,,,2026-04-30 14:25:04,2026-04-30,1
ROLR,buy,395,8.6856,9.29,238.738,2026-04-30 14:22:54,2026-04-30,0
ROLR,buy,395,8.57,,,2026-04-29 18:13:43,2026-04-30,1
SANM,buy,14,208.9211,,,2026-04-29 19:40:40,2026-04-30,0
SANM,buy,14,208.9211,206.5,-33.8954,2026-04-30 14:22:54,2026-04-30,0
SIMO,buy,18,219.95,205.5,-285.3,2026-04-30 13:25:40,2026-04-30,0
SIMO,buy,5,224.99,205.5,-97.45,2026-04-30 13:31:37,2026-04-30,0
SIMO,buy,27,203.95,,373.0,2026-04-30 14:25:03,2026-04-30,1
SIMO,buy,27,205.6374,218.87,357.2802,2026-04-30 19:40:16,2026-04-30,0
SXT,buy,8,121.5545,,,2026-04-29 19:40:40,2026-04-30,0
TRT,buy,355,12.35,12.55,152.366,2026-04-30 13:25:40,2026-04-30,0
TRT,buy,325,12.1,12.55,146.25,2026-04-30 13:31:37,2026-04-30,0
TRT,buy,377,13.36,,246.4,2026-04-30 14:25:04,2026-04-30,1
TRT,buy,377,13.4157,14.06,242.9011,2026-04-30 19:40:16,2026-04-30,0
