ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
FCEL,buy,1522,27.8217,19.6541,-12431.0872,2026-07-06 12:15:58,2026-07-20,10
IOVA,buy,16582,,,0.0,2026-07-20 12:35:28,2026-07-20,0
LCID,buy,11264,,,0.0,2026-07-20 12:35:28,2026-07-20,0
PARR,buy,1087,,,0.0,2026-07-20 12:35:28,2026-07-20,0
PBF,buy,1321,,,0.0,2026-07-20 12:35:28,2026-07-20,0
REZI,buy,870,36.33,34.75,-1374.6,2026-07-17 12:15:59,2026-07-20,1
VEEE,buy,931,38.51,32.3731,-5713.4539,2026-07-17 12:15:59,2026-07-20,1
