ticker,side,qty,entry_price,opened_at
BYND,buy,1,0.9101,2026-05-07 13:25:07
CNSP,buy,6240,6.892,2026-05-07 19:40:43
DOCN,buy,281,152.6144,2026-05-07 19:40:43
ESPR,buy,13763,3.13,2026-05-07 19:40:43
EXTR,buy,1811,23.7,2026-05-07 19:40:43
FIVN,buy,1770,22.51,2026-05-07 19:40:43
FLEX,buy,130,131.2922,2026-05-07 19:40:43
GBTG,buy,4529,9.4,2026-05-07 19:40:43
KALV,buy,1607,26.72,2026-05-07 19:40:43
MXL,buy,525,80.81,2026-05-07 19:40:43
STRL,buy,12,846.33,2026-05-07 13:25:07
TEAM,buy,449,87.45,2026-05-07 19:40:43
TWLO,buy,219,192.75,2026-05-07 19:40:43
WOLF,buy,999,45.3595,2026-05-07 19:40:43
