ticker,side,qty,entry_price,opened_at
AXSM,buy,191,229.9,2026-05-05 19:40:29
AXTI,buy,405,104.93,2026-05-05 19:40:29
BAND,buy,953,46.82,2026-05-05 19:40:29
BE,buy,148,289.4697,2026-05-05 13:54:22
BHE,buy,517,85.0,2026-05-05 19:40:29
CECO,buy,549,84.21,2026-05-05 19:40:29
CHEF,buy,550,78.76,2026-05-05 19:40:29
CNC,buy,801,54.41,2026-05-05 19:40:29
COCO,buy,638,67.5,2026-05-05 19:40:29
CRCL,buy,359,114.6563,2026-05-05 19:40:29
DINO,buy,598,73.03,2026-05-05 19:40:29
FCEL,buy,3298,12.85,2026-05-05 13:54:23
FIVN,buy,1839,24.56,2026-05-05 19:40:29
GBTG,buy,4597,9.33,2026-05-05 19:40:29
GNRC,buy,167,261.69,2026-05-05 19:40:29
GTX,buy,1717,25.33,2026-05-05 19:40:29
KALV,buy,1610,26.7,2026-05-05 19:40:29
KNSA,buy,745,58.0,2026-05-05 19:40:29
NICE,buy,345,121.97,2026-05-05 19:40:29
RNG,buy,908,47.06,2026-05-05 19:40:29
SIMO,buy,189,234.67,2026-05-05 19:40:29
TEAM,buy,460,89.34,2026-05-05 19:40:29
TWLO,buy,226,192.6269,2026-05-05 19:40:29
WOLF,buy,1194,37.69,2026-05-05 19:40:29
