ticker,side,qty,entry_price,strategy_id,regime,opened_at,account
BIRD,buy,56,8.37,24,choppy,2026-04-22 16:45:52,personal
PBM,buy,50,8.95,24,choppy,2026-04-22 16:45:52,personal
PBM,buy,69,8.6,12,trending_bull,2026-04-23 13:59:27,c2
PMAX,buy,1099,2.28,12,trending_bull,2026-04-20 19:49:02,c2
PMAX,buy,2134,2.28,12,trending_bull,2026-04-20 19:49:01,personal
QNCX,buy,786,1.29,12,trending_bull,2026-04-20 16:39:50,personal
QNCX,buy,457,1.33,15,choppy,2026-04-16 13:25:16,c2
QNCX,buy,528,1.33,15,choppy,2026-04-16 13:25:14,personal
QNCX,buy,676,1.29,12,trending_bull,2026-04-20 16:40:13,c2
