ticker,side,qty,entry_price,opened_at
ATAI,buy,4705,7.1425,2026-07-17 12:15:59
CDNA,buy,788,38.8219,2026-07-17 12:15:59
CNMD,buy,43,44.94,2026-07-16 16:00:58
IOVA,buy,16597,4.9412,2026-07-20 12:15:19
LCID,buy,11275,7.5066,2026-07-20 12:15:19
MAN,buy,626,54.1813,2026-07-17 12:15:59
MRVI,buy,266,6.78,2026-07-16 16:00:58
PARR,buy,1088,76.6397,2026-07-20 12:15:19
PBF,buy,1322,62.8341,2026-07-20 12:15:19
PYPL,buy,586,55.8,2026-07-16 12:15:58
QTTB,buy,2122,15.1,2026-07-17 12:15:59
RHI,buy,808,41.9,2026-07-17 12:15:59
VOD,buy,2137,15.9421,2026-07-17 12:15:59
