ticker,side,qty,entry_price,strategy_id,regime,opened_at,account
BIRD,buy,38,11.16,24,choppy,2026-04-16 13:25:13,personal
BIRD,buy,33,11.16,24,choppy,2026-04-16 13:25:16,c2
BIRD,buy,33,12.1409,15,choppy,2026-04-16 13:25:16,c2
BIRD,buy,38,12.14,15,choppy,2026-04-16 13:25:14,personal
HCAI,buy,586,4.82,12,trending_bull,2026-04-20 16:37:09,c2
HCAI,buy,1137,4.82,12,trending_bull,2026-04-20 16:37:03,personal
ONFO,buy,380,1.27,24,choppy,2026-04-17 13:25:08,personal
ONFO,buy,292,1.27,24,choppy,2026-04-17 13:25:08,c2
PMAX,buy,1099,2.28,12,trending_bull,2026-04-20 19:49:02,c2
PMAX,buy,2134,2.28,12,trending_bull,2026-04-20 19:49:01,personal
QNCX,buy,786,1.29,12,trending_bull,2026-04-20 16:39:50,personal
QNCX,buy,457,1.33,15,choppy,2026-04-16 13:25:16,c2
QNCX,buy,528,1.33,15,choppy,2026-04-16 13:25:14,personal
QNCX,buy,676,1.29,12,trending_bull,2026-04-20 16:40:13,c2
RMSG,buy,363,2.57,24,choppy,2026-04-16 13:25:13,personal
RMSG,buy,171,2.93,24,choppy,2026-04-17 13:25:08,c2
WNW,buy,178,4.34,15,choppy,2026-04-16 13:25:16,c2
WNW,buy,178,4.24,24,choppy,2026-04-16 13:25:16,c2
WNW,buy,205,4.24,24,choppy,2026-04-16 13:25:13,personal
