ticker,side,qty,entry_price,opened_at
BLKB,buy,624,43.6629,2026-08-04 12:15:42
CHYM,buy,1225,30.31,2026-08-07 12:15:42
HURN,buy,251,149.97,2026-08-04 12:15:42
IESC,buy,41,786.0,2026-08-06 12:15:42
IOVA,buy,6796,6.32,2026-08-10 12:15:42
LIFE,buy,947,29.9677,2026-08-07 12:15:42
MKTX,buy,236,162.3932,2026-08-04 12:15:42
MTRN,buy,108,290.68,2026-08-06 12:15:42
PLPC,buy,64,475.5,2026-08-06 12:15:43
RDW,buy,3179,13.49,2026-08-10 12:15:42
SATL,buy,5368,5.58,2026-08-10 12:15:42
VOYG,buy,979,42.23,2026-08-10 12:15:42
