ticker,side,qty,entry_price,opened_at
APPS,buy,5245,8.5772,2026-05-29 12:16:03
CPSH,buy,5457,9.3163,2026-05-30 09:05:23
CRSR,buy,4180,10.42,2026-05-30 09:05:23
DELL,buy,127,437.97,2026-05-30 09:05:23
ENPH,buy,592,69.1081,2026-05-28 12:15:17
INFQ,buy,796,16.7686,2026-05-29 19:31:22
MASK,buy,14597,5.5436,2026-05-30 09:05:23
MNTS,buy,3435,17.57,2026-05-30 09:05:23
RCAT,buy,2364,15.2485,2026-05-30 09:05:24
RDW,buy,1400,21.8494,2026-05-30 09:05:23
REPL,buy,3729,9.7224,2026-05-30 09:05:24
RGTI,buy,1101,25.602,2026-05-29 12:16:03
SNOW,buy,134,263.2844,2026-05-30 09:05:23
SPCE,buy,9275,7.88,2026-05-30 09:05:23
TE,buy,6431,10.8063,2026-05-28 12:15:17
UMAC,buy,906,27.0461,2026-05-29 14:21:41
